college,sport,city,division,enrollment_male,enrollment_female,enrollment_total,college_type,gender,participants_male,participants_female,opexp_per_male,opexp_per_male_team,opexp_per_female,opexp_per_female_team, revenue_male,revenue_female,expense_male,expense_female
Ithaca College,Softball,Ithaca,NCAA Division III (with football),2551,3452,6003,"Private nonprofit, 4-year or above",Women,,22,,,3494,76878,,189417,,189417
SUNY College of Technology at Canton,Softball,Canton,Other,1288,1505,2793,"Public, 4-year or above",Women,,22,,,1368,30096,,112456,,111406
Hofstra University,Softball,Hempstead,NCAA Division I-AAA,2970,3460,6430,"Private nonprofit, 4-year or above",Women,,21,,,10943,229794,,1268528,,1268528
St John's University-New York,Softball,Queens,NCAA Division I-AAA,4884,5671,10555,"Private nonprofit, 4-year or above",Women,,21,,,9335,196043,,1152970,,1152970
University at Buffalo,Softball,Buffalo,NCAA Division I-A,9949,8042,17991,"Public, 4-year or above",Women,,21,,,7953,167017,,777282,,777282
Niagara University,Softball,Niagara University,NCAA Division I-AAA,1149,1669,2818,"Private nonprofit, 4-year or above",Women,,21,,,4320,90722,,459276,,459276
State University of New York at New Paltz,Softball,New Paltz,NCAA Division III (without football),2299,3751,6050,"Public, 4-year or above",Women,,21,,,988,20743,,106541,,106541
Farmingdale State College,Softball,Farmingdale,NCAA Division III (without football),3701,2451,6152,"Public, 4-year or above",Women,,21,,,1131,23741,,61741,,61741
SUNY College at Oswego,Softball,Oswego,NAIA Division III,3316,3516,6832,"Public, 4-year or above",Women,,21,,,1349,28327,,64610,,52886
Wagner College,Softball,Staten Island,NCAA Division I-A,657,1105,1762,"Private nonprofit, 4-year or above",Women,,20,,,4192,83837,,568532,,568205
SUNY at Albany,Softball,Albany,NCAA Division I-AA,6228,5867,12095,"Public, 4-year or above",Women,,20,,,6491,129825,,557367,,544327
Dowling College,Softball,Oakdale,NCAA Division II (without football),562,518,1080,"Private nonprofit, 4-year or above",Women,,20,,,2084,41676,,265210,,265210
Le Moyne College,Softball,Syracuse,NCAA Division II (without football),1104,1385,2489,"Private nonprofit, 4-year or above",Women,,20,,,2956,59123,,244452,,240200
SUNY Buffalo State,Softball,Buffalo,NCAA Division III (with football),3485,4793,8278,"Public, 4-year or above",Women,,20,,,2243,44854,,126307,,120159
SUNY Oneonta,Softball,Oneonta,NCAA Division III (without football),2237,3474,5711,"Public, 4-year or above",Women,,20,,,1167,23330,,98263,,98263
SUNY at Fredonia,Softball,Fredonia,NCAA Division III (without football),2174,2621,4795,"Public, 4-year or above",Women,,20,,,2599,51974,,99685,,86810
Syracuse University,Softball,Syracuse,NCAA Division I-A,6394,7835,14229,"Private nonprofit, 4-year or above",Women,,19,,,14169,269219,,843551,,1597559
LIU Brooklyn,Softball,Brooklyn,NCAA Division I-AAA,1312,2798,4110,"Private nonprofit, 4-year or above",Women,,19,,,11288,214468,,1075595,,1075595
SUNY at Binghamton,Softball,Vestal,NCAA Division I-AAA,6746,6160,12906,"Public, 4-year or above",Women,,19,,,5970,113439,,566810,,560255
Manhattan College,Softball,Riverdale,NCAA Division I-AAA,1811,1465,3276,"Private nonprofit, 4-year or above",Women,,19,,,5475,104026,,508344,,508342
Cornell University,Softball,Ithaca,NCAA Division I-AA,6976,7206,14182,"Private nonprofit, 4-year or above",Women,,19,,,4416,83897,,499464,,499464
Monroe College,Softball,Bronx,Other,1858,2910,4768,"Private for-profit, 4-year or above",Women,,19,,,3051,57968,,232855,,232855
The College of Saint Rose,Softball,Albany,NCAA Division II (without football),852,1655,2507,"Private nonprofit, 4-year or above",Women,,19,,,2873,54592,,237264,,227669
CUNY Queens College,Softball,Queens,NCAA Division II (without football),4942,6119,11061,"Public, 4-year or above",Women,,19,,,2107,40028,,210146,,185753
Rochester Institute of Technology,Softball,Rochester,Other,8188,4003,12191,"Private nonprofit, 4-year or above",Women,,19,,,2023,38443,,138877,,138877
University of Rochester,Softball,Rochester,NCAA Division III (with football),2958,2953,5911,"Private nonprofit, 4-year or above",Women,,19,,,3386,64337,,128400,,128400
SUNY College of Technology at Alfred,Softball,Alfred,NCAA Division III (with football),2139,1187,3326,"Public, 4-year or above",Women,,19,,,1905,36192,,118021,,88690
Utica College,Softball,Utica,NCAA Division III (with football),969,1227,2196,"Private nonprofit, 4-year or above",Women,,19,,,1336,25391,,79983,,75852
CUNY Hunter College,Softball,New York,NCAA Division III (without football),4261,7804,12065,"Public, 4-year or above",Women,,19,,,784,14902,,44567,,44567
Cazenovia College,Softball,Cazenovia,NCAA Division III (without football),271,692,963,"Private nonprofit, 4-year or above",Women,,19,,,1724,32764,,38364,,38364
Fordham University,Softball,Bronx,NCAA Division I-AA,3667,4367,8034,"Private nonprofit, 4-year or above",Women,,18,,,12283,221087,,1335755,,1335755
Siena College,Softball,Loudonville,NCAA Division I-AAA,1428,1556,2984,"Private nonprofit, 4-year or above",Women,,18,,,4823,86807,,539284,,539284
Iona College,Softball,New Rochelle,NCAA Division I-AA,1394,1599,2993,"Private nonprofit, 4-year or above",Women,,18,,,3776,67962,,522450,,522450
New York University,Softball,New York,NCAA Division III (without football),10184,13266,23450,"Private nonprofit, 4-year or above",Women,,18,,,8106,145903,,306304,,306304
Molloy College,Softball,Rockville Centre,NCAA Division II (without football),710,1964,2674,"Private nonprofit, 4-year or above",Women,,18,,,3477,62588,,298777,,270708
Keuka College,Softball,Keuka Park,NCAA Division III (without football),383,964,1347,"Private nonprofit, 4-year or above",Women,,18,,,1721,30982,,64871,,64871
Onondaga Community College,Softball,Syracuse,NJCAA Division III,3184,3062,6246,"Public, 2-year",Women,,18,,,1622,29198,,59530,,62064
Nazareth College,Softball,Rochester,NCAA Division III (without football),535,1382,1917,"Private nonprofit, 4-year or above",Women,,18,,,1631,29352,,61636,,59486
Mount Saint Mary College,Softball,Newburgh,NCAA Division III (without football),522,1185,1707,"Private nonprofit, 4-year or above",Women,,18,,,1458,26248,,58317,,57192
Monroe Community College,Softball,Rochester,NJCAA Division I,4504,4859,9363,"Public, 2-year",Women,,18,,,1511,27190,,62303,,44238
Herkimer County Community College,Softball,Herkimer,NJCAA Division III,810,1023,1833,"Public, 2-year",Women,,18,,,1149,20678,,38756,,38756
Stony Brook University,Softball,Stony Brook,NCAA Division I-AA,8253,6890,15143,"Public, 4-year or above",Women,,17,,,8167,138835,,600723,,703213
LIU Post,Softball,Brookville,NCAA Division II (with football),1317,2038,3355,"Private nonprofit, 4-year or above",Women,,17,,,4037,68622,,520420,,520420
Concordia College-New York,Softball,Bronxville,NCAA Division II (without football),276,555,831,"Private nonprofit, 4-year or above",Women,,17,,,1295,22011,,291647,,291647
Dominican College of Blauvelt,Softball,Orangeburg,NCAA Division II (without football),469,800,1269,"Private nonprofit, 4-year or above",Women,,17,,,1717,29196,,183291,,183291
Alfred University,Softball,Alfred,NCAA Division III (with football),928,881,1809,"Private nonprofit, 4-year or above",Women,,17,,,2335,39693,,135880,,135880
Skidmore College,Softball,Saratoga Springs,NCAA Division III (without football),1051,1546,2597,"Private nonprofit, 4-year or above",Women,,17,,,2414,41030,,94721,,94721
Nassau Community College,Softball,Garden City,NJCAA Division III,6765,6210,12975,"Public, 2-year",Women,,17,,,325,5525,,23687,,23687
Colgate University,Softball,Hamilton,NCAA Division I-AA,1305,1558,2863,"Private nonprofit, 4-year or above",Women,,16,,,5972,95556,,737623,,737623
Canisius College,Softball,Buffalo,NCAA Division I-AAA,1251,1449,2700,"Private nonprofit, 4-year or above",Women,,16,,,8136,130173,,635752,,635752
Columbia University - NYC,Softball,New York,NCAA Division I-AA,3926,3570,7496,"Private nonprofit, 4-year or above",Women,,16,,,8307,132911,,340289,,340289
Adelphi University,Softball,Garden City,NCAA Division II (without football),1403,3173,4576,"Private nonprofit, 4-year or above",Women,,16,,,5701,91221,,339043,,339043
Clarkson University,Softball,Potsdam,NCAA Division III (without football),2201,920,3121,"Private nonprofit, 4-year or above",Women,,16,,,2394,38304,,136838,,135431
Rensselaer Polytechnic Institute,Softball,Troy,NCAA Division III (with football),3861,1695,5556,"Private nonprofit, 4-year or above",Women,,16,,,3854,61662,,127884,,126145
Yeshiva University,Softball,New York,NCAA Division III (without football),1433,1291,2724,"Private nonprofit, 4-year or above",Women,,16,,,4046,64737,,86627,,86627
Elmira College,Softball,Elmira,NCAA Division III (without football),358,819,1177,"Private nonprofit, 4-year or above",Women,,16,,,1052,16831,,81671,,81671
Hudson Valley Community College,Softball,Troy,NJCAA Division III,3578,2594,6172,"Public, 2-year",Women,,16,,,2657,42510,,53596,,53596
College of Mount Saint Vincent,Softball,Bronx,NCAA Division III (without football),490,1087,1577,"Private nonprofit, 4-year or above",Women,,16,,,1889,30216,,52320,,49666
Cayuga County Community College,Softball,Auburn,NJCAA Division III,790,1227,2017,"Public, 2-year",Women,,16,,,1563,25015,,35015,,35015
Niagara County Community College,Softball,Sanborn,NJCAA Division III,1739,2210,3949,"Public, 2-year",Women,,16,,,1172,18750,,37750,,30750
SUNY Westchester Community College,Softball,Valhalla,NJCAA Division III,3645,3714,7359,"Public, 2-year",Women,,16,,,400,6402,,14224,,13403
Marist College,Softball,Poughkeepsie,NCAA Division I-AA,1993,2879,4872,"Private nonprofit, 4-year or above",Women,,15,,,6896,103441,,487474,,487474
New York Institute of Technology,Softball,Old Westbury,NCAA Division II (without football),2286,1332,3618,"Private nonprofit, 4-year or above",Women,,15,,,1675,25125,,293099,,293099
SUNY College at Potsdam,Softball,Potsdam,NCAA Division III (without football),1562,2011,3573,"Public, 4-year or above",Women,,15,,,2941,44111,,85141,,82281
The Sage Colleges,Softball,Troy,NCAA Division III (without football),311,1147,1458,"Private nonprofit, 4-year or above",Women,,15,,,1245,18672,,62596,,68816
SUNY College of Agriculture and Technology at Cobleskill,Softball,Cobleskill,NCAA Division III (without football),1177,1233,2410,"Public, 4-year or above",Women,,15,,,1299,19490,,51125,,51125
College of Staten Island CUNY,Softball,Staten Island,NCAA Division III (without football),4528,5493,10021,"Public, 4-year or above",Women,,15,,,2055,30819,,50883,,50883
Hilbert College,Softball,Hamburg,NCAA Division III (without football),370,472,842,"Private nonprofit, 4-year or above",Women,,15,,,1921,28818,,44905,,44905
D'Youville College,Softball,Buffalo,NCAA Division III (without football),416,1087,1503,"Private nonprofit, 4-year or above",Women,,15,,,1681,25208,,40185,,40185
CUNY Brooklyn College,Softball,Brooklyn,NCAA Division III (without football),4115,5697,9812,"Public, 4-year or above",Women,,15,,,1328,19913,,37100,,37100
Genesee Community College,Softball,Batavia,NJCAA Division II,1060,1886,2946,"Public, 2-year",Women,,15,,,1584,23758,,34367,,34367
Sarah Lawrence College,Softball,Bronxville,Other,385,966,1351,"Private nonprofit, 4-year or above",Women,,15,,,1109,16637,,30278,,30278
Corning Community College,Softball,Corning,NJCAA Division III,863,1080,1943,"Public, 2-year",Women,,15,,,1056,15840,,30158,,28039
CUNY Bernard M Baruch College,Softball,New York,NCAA Division III (without football),5673,5123,10796,"Public, 4-year or above",Women,,15,,,751,11267,,30525,,27710
SUNY at Purchase College,Softball,Purchase,NCAA Division III (without football),1648,2046,3694,"Public, 4-year or above",Women,,15,,,729,10930,,30000,,27250
Mohawk Valley Community College,Softball,Utica,NJCAA Division III,1985,2002,3987,"Public, 2-year",Women,,15,,,819,12285,,26532,,26532
North Country Community College,Softball,Saranac Lake,NJCAA Division III,327,557,884,"Public, 2-year",Women,,15,,,722,10828,,21258,,21258
Nyack College,Softball,Nyack,NCAA Division II (without football),544,872,1416,"Private nonprofit, 4-year or above",Women,,14,,,2752,38524,,220052,,220052
SUNY College at Plattsburgh,Softball,Plattsburgh,NCAA Division III (without football),2265,2813,5078,"Public, 4-year or above",Women,,14,,,4103,57446,,150407,,147932
Hamilton College,Softball,Clinton,NCAA Division III (with football),918,972,1890,"Private nonprofit, 4-year or above",Women,,14,,,3699,51788,,146533,,146533
St Lawrence University,Softball,Canton,NCAA Division III (with football),1065,1215,2280,"Private nonprofit, 4-year or above",Women,,14,,,1407,19694,,97502,,97502
Morrisville State College,Softball,Morrisville,NCAA Division III (with football),1283,1221,2504,"Public, 4-year or above",Women,,14,,,2094,29320,,92320,,92320
Union College,Softball,Schenectady,NCAA Division III (with football),1193,1009,2202,"Private nonprofit, 4-year or above",Women,,14,,,2495,34927,,65528,,80552
Manhattanville College,Softball,Purchase,NCAA Division III (without football),609,1098,1707,"Private nonprofit, 4-year or above",Women,,14,,,648,9071,,78955,,79999
Houghton College,Softball,Houghton,NCAA Division III (without football),352,641,993,"Private nonprofit, 4-year or above",Women,,14,,,2271,31791,,64817,,64817
SUNY Institute of Technology at Utica-Rome,Softball,Utica,NCAA Division III (without football),1090,523,1613,"Public, 4-year or above",Women,,14,,,2986,41807,,51732,,51643
CUNY John Jay College of Criminal Justice,Softball,New York,NCAA Division III (without football),4393,5826,10219,"Public, 4-year or above",Women,,14,,,877,12276,,43476,,43476
Medaille College,Softball,Buffalo,NCAA Division III (without football),561,1188,1749,"Private nonprofit, 4-year or above",Women,,14,,,1393,19497,,51689,,42639
Finger Lakes Community College,Softball,Canandaigua,NJCAA Division III,1506,1750,3256,"Public, 2-year",Women,,14,,,1593,22308,,32769,,32769
SUNY College of Technology at Delhi,Softball,Delhi,NJCAA Division III,1432,1222,2654,"Public, 4-year or above",Women,,14,,,797,11154,,23973,,23973
CUNY Lehman College,Softball,Bronx,NCAA Division III (without football),1961,3903,5864,"Public, 4-year or above",Women,,14,,,544,7622,,23158,,23158
CUNY Queensborough Community College,Softball,Bayside,NJCAA Division III,4558,4966,9524,"Public, 2-year",Women,,14,,,759,10624,,21705,,21705
Tompkins Cortland Community College,Softball,Dryden,NJCAA Division III,1062,1182,2244,"Public, 2-year",Women,,14,,,723,10124,,19623,,19623
SUNY College at Old Westbury,Softball,Old Westbury,NCAA Division III (without football),1494,2142,3636,"Public, 4-year or above",Women,,13,,,1519,19744,,53207,,45738
Orange County Community College,Softball,Middletown,Other,1502,1793,3295,"Public, 2-year",Women,,13,,,1574,20460,,42310,,42310
SUNY Broome Community College,Softball,Binghamton,NJCAA Division III,1973,2318,4291,"Public, 2-year",Women,,13,,,1185,15402,,24482,,24482
Dutchess Community College,Softball,Poughkeepsie,NJCAA Division III,2316,2289,4605,"Public, 2-year",Women,,13,,,805,10465,,24017,,21085
Adirondack Community College,Softball,Queensbury,NJCAA Division III,1162,1338,2500,"Public, 2-year",Women,,13,,,764,9927,,15124,,17687
Clinton Community College,Softball,Plattsburgh,NJCAA Division III,431,480,911,"Public, 2-year",Women,,13,,,654,8500,,14450,,14450
St. Thomas Aquinas College,Softball,Sparkill,NCAA Division II (without football),506,580,1086,"Private nonprofit, 4-year or above",Women,,12,,,3627,43527,,192574,,188429
Jefferson Community College,Softball,Watertown,NJCAA Division III,898,1234,2132,"Public, 2-year",Women,,11,,,1611,17725,,29489,,29489
Columbia-Greene Community College,Softball,Hudson,NJCAA Division III,373,475,848,"Public, 2-year",Women,,11,,,608,6686,,19846,,19846
CUNY York College,Softball,Jamaica,NCAA Division III (without football),1736,3333,5069,"Public, 4-year or above",Women,,10,,,1950,19495,,17187,,19886
Fulton-Montgomery Community College,Softball,Johnstown,NJCAA Division III,713,804,1517,"Public, 2-year",Women,,10,,,654,6539,,22742,,14391
Columbia University - NYC,Squash,New York,NCAA Division I-AA,3926,3570,7496,"Private nonprofit, 4-year or above",Men,14,,4477,62674,,,184449,,184449,
Cornell University,Squash,Ithaca,NCAA Division I-AA,6976,7206,14182,"Private nonprofit, 4-year or above",Men,17,,1751,29761,,,171776,,171776,
University of Rochester,Squash,Rochester,NCAA Division III (with football),2958,2953,5911,"Private nonprofit, 4-year or above",Men,11,,2382,26199,,,91492,,91492,
St Lawrence University,Squash,Canton,NCAA Division III (with football),1065,1215,2280,"Private nonprofit, 4-year or above",Men,17,,1041,17703,,,78878,,78878,
Hobart William Smith Colleges,Squash,Geneva,NCAA Division III (with football),1094,1248,2342,"Private nonprofit, 4-year or above",Men,15,,846,12695,,,69259,,69259,
Vassar College,Squash,Poughkeepsie,NCAA Division III (without football),1049,1331,2380,"Private nonprofit, 4-year or above",Men,11,,730,8030,,,60632,,60550,
Hamilton College,Squash,Clinton,NCAA Division III (with football),918,972,1890,"Private nonprofit, 4-year or above",Men,18,,1214,21848,,,60426,,60426,
Fordham University,Squash,Bronx,NCAA Division I-AA,3667,4367,8034,"Private nonprofit, 4-year or above",Men,14,,1701,23810,,,49091,,49091,
Bard College,Squash,Annandale-On-Hudson,NCAA Division III (without football),888,1094,1982,"Private nonprofit, 4-year or above",Men,10,,887,8873,,,21873,,21873,
St Lawrence University,Squash,Canton,NCAA Division III (with football),1065,1215,2280,"Private nonprofit, 4-year or above",Women,,17,,,1041,17703,,78878,,78878
Hamilton College,Squash,Clinton,NCAA Division III (with football),918,972,1890,"Private nonprofit, 4-year or above",Women,,17,,,1445,24557,,63194,,63194
Columbia University - NYC,Squash,New York,NCAA Division I-AA,3926,3570,7496,"Private nonprofit, 4-year or above",Women,,12,,,5148,61774,,189171,,189171
Cornell University,Squash,Ithaca,NCAA Division I-AA,6976,7206,14182,"Private nonprofit, 4-year or above",Women,,12,,,1724,20682,,119370,,119370
Hobart William Smith Colleges,Squash,Geneva,NCAA Division III (with football),1094,1248,2342,"Private nonprofit, 4-year or above",Women,,12,,,1780,21354,,64792,,64792
Vassar College,Squash,Poughkeepsie,NCAA Division III (without football),1049,1331,2380,"Private nonprofit, 4-year or above",Women,,10,,,888,8884,,61919,,60837
Manhattan College,Swimming,Riverdale,NCAA Division I-AAA,1811,1465,3276,"Private nonprofit, 4-year or above",Men,22,,3181,69981,,,226047,,226048,
Hartwick College,Swimming,Oneonta,NAIA Division III,591,915,1506,"Private nonprofit, 4-year or above",Men,20,,1387,27734,,,114494,,114494,
Adelphi University,Swimming,Garden City,NCAA Division II (without football),1403,3173,4576,"Private nonprofit, 4-year or above",Men,13,,2282,29671,,,107392,,107392,
Clarkson University,Swimming,Potsdam,NCAA Division III (without football),2201,920,3121,"Private nonprofit, 4-year or above",Men,25,,1093,27330,,,107887,,107191,
State University of New York at New Paltz,Swimming,New Paltz,NCAA Division III (without football),2299,3751,6050,"Public, 4-year or above",Men,23,,1199,27573,,,102608,,101006,
St Lawrence University,Swimming,Canton,NCAA Division III (with football),1065,1215,2280,"Private nonprofit, 4-year or above",Men,9,,731,6583,,,59960,,59960,
Mount Saint Mary College,Swimming,Newburgh,NCAA Division III (without football),522,1185,1707,"Private nonprofit, 4-year or above",Men,9,,2176,19584,,,47348,,46500,
Utica College,Swimming,Utica,NCAA Division III (with football),969,1227,2196,"Private nonprofit, 4-year or above",Men,9,,1257,11310,,,48410,,45078,
Sarah Lawrence College,Swimming,Bronxville,Other,385,966,1351,"Private nonprofit, 4-year or above",Men,10,,1481,14809,,,42031,,42031,
Fashion Institute of Technology,Swimming,New York,NJCAA Division III,1033,6359,7392,"Public, 4-year or above",Men,6,,2759,16554,,,37378,,37378,
SUNY College of Agriculture and Technology at Cobleskill,Swimming,Cobleskill,NCAA Division III (without football),1177,1233,2410,"Public, 4-year or above",Men,14,,1334,18676,,,35242,,35242,
SUNY College at Old Westbury,Swimming,Old Westbury,NCAA Division III (without football),1494,2142,3636,"Public, 4-year or above",Men,13,,1519,19744,,,34770,,34770,
SUNY College of Technology at Alfred,Swimming,Alfred,NCAA Division III (with football),2139,1187,3326,"Public, 4-year or above",Men,11,,650,7155,,,33020,,30051,
Wells College,Swimming,Aurora,NCAA Division III (without football),172,347,519,"Private nonprofit, 4-year or above",Men,9,,1231,11083,,,29017,,29017,
SUNY at Purchase College,Swimming,Purchase,NCAA Division III (without football),1648,2046,3694,"Public, 4-year or above",Men,10,,624,6238,,,25000,,24420,
Bard College,Swimming,Annandale-On-Hudson,NCAA Division III (without football),888,1094,1982,"Private nonprofit, 4-year or above",Men,14,,1179,16509,,,23835,,22865,
College of Mount Saint Vincent,Swimming,Bronx,NCAA Division III (without football),490,1087,1577,"Private nonprofit, 4-year or above",Men,8,,412,3299,,,10708,,15866,
CUNY Queensborough Community College,Swimming,Bayside,NJCAA Division III,4558,4966,9524,"Public, 2-year",Men,9,,424,3813,,,13913,,13913,
CUNY York College,Swimming,Jamaica,NCAA Division III (without football),1736,3333,5069,"Public, 4-year or above",Men,12,,625,7499,,,20623,,12060,
Jamestown Community College,Swimming,Jamestown,NJCAA Division III,1095,1377,2472,"Public, 2-year",Men,8,,883,7067,,,11552,,11552,
Paul Smiths College of Arts and Science,Swimming,Paul Smiths,Other,570,311,881,"Private nonprofit, 4-year or above",Men,7,,192,1345,,,10645,,10645,
Cazenovia College,Swimming,Cazenovia,NCAA Division III (without football),271,692,963,"Private nonprofit, 4-year or above",Men,5,,1285,6427,,,10244,,10244,
State University of New York at New Paltz,Swimming,New Paltz,NCAA Division III (without football),2299,3751,6050,"Public, 4-year or above",Women,,28,,,1204,33700,,111712,,110110
Saint Joseph's College-New York,Swimming,Brooklyn,NCAA Division III (without football),1103,2118,3221,"Private nonprofit, 4-year or above",Women,,27,,,860,23228,,55875,,55876
CUNY Hunter College,Swimming,New York,NCAA Division III (without football),4261,7804,12065,"Public, 4-year or above",Women,,23,,,804,18487,,44257,,44257
Hartwick College,Swimming,Oneonta,NAIA Division III,591,915,1506,"Private nonprofit, 4-year or above",Women,,22,,,1421,31257,,106592,,106592
SUNY College of Agriculture and Technology at Cobleskill,Swimming,Cobleskill,NCAA Division III (without football),1177,1233,2410,"Public, 4-year or above",Women,,22,,,1334,29348,,45914,,45914
Manhattan College,Swimming,Riverdale,NCAA Division I-AAA,1811,1465,3276,"Private nonprofit, 4-year or above",Women,,20,,,3362,67238,,195260,,195260
The College of New Rochelle,Swimming,New Rochelle,NCAA Division III (without football),286,2379,2665,"Private nonprofit, 4-year or above",Women,,20,,,575,11504,,26634,,26634
Adelphi University,Swimming,Garden City,NCAA Division II (without football),1403,3173,4576,"Private nonprofit, 4-year or above",Women,,19,,,2282,43366,,115866,,115866
Bard College,Swimming,Annandale-On-Hudson,NCAA Division III (without football),888,1094,1982,"Private nonprofit, 4-year or above",Women,,16,,,1052,16831,,24157,,23187
Utica College,Swimming,Utica,NCAA Division III (with football),969,1227,2196,"Private nonprofit, 4-year or above",Women,,15,,,760,11398,,48178,,44846
LIU Post,Swimming,Brookville,NCAA Division II (with football),1317,2038,3355,"Private nonprofit, 4-year or above",Women,,14,,,3750,52500,,453168,,453168
Mount Saint Mary College,Swimming,Newburgh,NCAA Division III (without football),522,1185,1707,"Private nonprofit, 4-year or above",Women,,14,,,1420,19884,,47648,,46800
Sarah Lawrence College,Swimming,Bronxville,Other,385,966,1351,"Private nonprofit, 4-year or above",Women,,14,,,1088,15227,,38336,,38336
CUNY Queensborough Community College,Swimming,Bayside,NJCAA Division III,4558,4966,9524,"Public, 2-year",Women,,14,,,282,3942,,14042,,14042
Clarkson University,Swimming,Potsdam,NCAA Division III (without football),2201,920,3121,"Private nonprofit, 4-year or above",Women,,13,,,1093,14205,,56074,,56176
SUNY College at Old Westbury,Swimming,Old Westbury,NCAA Division III (without football),1494,2142,3636,"Public, 4-year or above",Women,,13,,,1519,19744,,34770,,34770
CUNY York College,Swimming,Jamaica,NCAA Division III (without football),1736,3333,5069,"Public, 4-year or above",Women,,13,,,625,8123,,22342,,11937
St Lawrence University,Swimming,Canton,NCAA Division III (with football),1065,1215,2280,"Private nonprofit, 4-year or above",Women,,12,,,731,8777,,73314,,73314
SUNY at Purchase College,Swimming,Purchase,NCAA Division III (without football),1648,2046,3694,"Public, 4-year or above",Women,,11,,,558,6133,,25000,,24315
CUNY John Jay College of Criminal Justice,Swimming,New York,NCAA Division III (without football),4393,5826,10219,"Public, 4-year or above",Women,,10,,,695,6954,,36778,,36778
Wells College,Swimming,Aurora,NCAA Division III (without football),172,347,519,"Private nonprofit, 4-year or above",Women,,9,,,1231,11083,,29017,,29017
Fashion Institute of Technology,Swimming,New York,NJCAA Division III,1033,6359,7392,"Public, 4-year or above",Women,,8,,,2759,22072,,49837,,49837
College of Mount Saint Vincent,Swimming,Bronx,NCAA Division III (without football),490,1087,1577,"Private nonprofit, 4-year or above",Women,,7,,,471,3299,,11604,,15866
Genesee Community College,Swimming,Batavia,NJCAA Division II,1060,1886,2946,"Public, 2-year",Women,,7,,,1133,7930,,12338,,12338
SUNY College of Technology at Alfred,Swimming,Alfred,NCAA Division III (with football),2139,1187,3326,"Public, 4-year or above",Women,,4,,,651,2602,,33020,,23937
Jamestown Community College,Swimming,Jamestown,NJCAA Division III,1095,1377,2472,"Public, 2-year",Women,,4,,,883,3533,,8018,,8018
Paul Smiths College of Arts and Science,Swimming,Paul Smiths,Other,570,311,881,"Private nonprofit, 4-year or above",Women,,1,,,635,635,,9935,,9935
University at Buffalo,Swimming and Diving,Buffalo,NCAA Division I-A,9949,8042,17991,"Public, 4-year or above",Men,24,,3254,78100,,,513220,,513220,
Columbia University - NYC,Swimming and Diving,New York,NCAA Division I-AA,3926,3570,7496,"Private nonprofit, 4-year or above",Men,33,,5423,178972,,,458920,,458920,
Fordham University,Swimming and Diving,Bronx,NCAA Division I-AA,3667,4367,8034,"Private nonprofit, 4-year or above",Men,29,,1539,44629,,,450155,,450155,
St Bonaventure University,Swimming and Diving,Saint Bonaventure,NCAA Division I-AAA,851,867,1718,"Private nonprofit, 4-year or above",Men,24,,2856,68553,,,443187,,443187,
Cornell University,Swimming and Diving,Ithaca,NCAA Division I-AA,6976,7206,14182,"Private nonprofit, 4-year or above",Men,31,,2093,64889,,,416471,,416471,
Marist College,Swimming and Diving,Poughkeepsie,NCAA Division I-AA,1993,2879,4872,"Private nonprofit, 4-year or above",Men,22,,3286,72298,,,310356,,310356,
Iona College,Swimming and Diving,New Rochelle,NCAA Division I-AA,1394,1599,2993,"Private nonprofit, 4-year or above",Men,21,,862,18100,,,248002,,248002,
SUNY at Binghamton,Swimming and Diving,Vestal,NCAA Division I-AAA,6746,6160,12906,"Public, 4-year or above",Men,25,,2601,65032,,,250518,,243451,
New York University,Swimming and Diving,New York,NCAA Division III (without football),10184,13266,23450,"Private nonprofit, 4-year or above",Men,40,,2922,116898,,,226217,,218585,
Niagara University,Swimming and Diving,Niagara University,NCAA Division I-AAA,1149,1669,2818,"Private nonprofit, 4-year or above",Men,15,,1384,20754,,,209587,,209587,
Canisius College,Swimming and Diving,Buffalo,NCAA Division I-AAA,1251,1449,2700,"Private nonprofit, 4-year or above",Men,31,,1662,51524,,,191012,,191012,
Pace University-New York,Swimming and Diving,New York,NCAA Division II (with football),2857,4362,7219,"Private nonprofit, 4-year or above",Men,25,,815,20365,,,189484,,188883,
Ithaca College,Swimming and Diving,Ithaca,NCAA Division III (with football),2551,3452,6003,"Private nonprofit, 4-year or above",Men,23,,3846,88448,,,173843,,173843,
The College of Saint Rose,Swimming and Diving,Albany,NCAA Division II (without football),852,1655,2507,"Private nonprofit, 4-year or above",Men,18,,2399,43177,,,178685,,172003,
Colgate University,Swimming and Diving,Hamilton,NCAA Division I-AA,1305,1558,2863,"Private nonprofit, 4-year or above",Men,16,,3990,63843,,,171034,,171034,
SUNY College at Geneseo,Swimming and Diving,Geneseo,NCAA Division III (without football),2278,3136,5414,"Public, 4-year or above",Men,29,,3588,104038,,,147114,,135083,
Nazareth College,Swimming and Diving,Rochester,NCAA Division III (without football),535,1382,1917,"Private nonprofit, 4-year or above",Men,17,,1357,23065,,,165352,,125440,
SUNY College at Oswego,Swimming and Diving,Oswego,NAIA Division III,3316,3516,6832,"Public, 4-year or above",Men,23,,2101,48313,,,120192,,117441,
St Francis College,Swimming and Diving,Brooklyn Heights,NCAA Division I-AAA,1059,1354,2413,"Private nonprofit, 4-year or above",Men,19,,1091,20732,,,113680,,113680,
